Index Raw," Behavior Regulation"," Emotion Regulation"," Cognitive Regulation"
96,"[null, null]","[null, null]","[87,>99]"
95,"[null, null]","[null, null]","[86,>99]"
94,"[null, null]","[null, null]","[85,>99]"
93,"[null, null]","[null, null]","[85,>99]"
92,"[null, null]","[null, null]","[84,>99]"
91,"[null, null]","[null, null]","[83,99]"
90,"[null, null]","[null, null]","[82,99]"
89,"[null, null]","[null, null]","[81,99]"
88,"[null, null]","[null, null]","[81,99]"
87,"[null, null]","[null, null]","[80,99]"
86,"[null, null]","[null, null]","[79,99]"
85,"[null, null]","[null, null]","[78,99]"
84,"[null, null]","[null, null]","[77,99]"
83,"[null, null]","[null, null]","[77,99]"
82,"[null, null]","[null, null]","76,99]"
81,"[null, null]","[null, null]","[75,98]"
80,"[null, null]","[null, null]","[74,98]"
79,"[null, null]","[null, null]","[74,98]"
78,"[null, null]","[null, null]","[73,97]"
77,"[null, null]","[null, null]","[72,97]"
76,"[null, null]","[null, null]","[71,97]"
75,"[null, null]","[null, null]","[70,97]"
74,"[null, null]","[null, null]","[70,97]"
73,"[null, null]","[null, null]","[69.95]"
72,"[null, null]","[null, null]","[68,95]"
71,"[null, null]","[null, null]","[67,94]"
70,"[null, null]","[null, null]","[66,92]"
69,"[null, null]","[null, null]","[66,92]"
68,"[null, null]","[null, null]","[65,92]"
67,"[null, null]","[null, null]","[64,90]"
66,"[null, null]","[null, null]","[63,90]"
65,"[null, null]","[null, null]","[62,89]"
64,"[null, null]","[null, null]","[62,89]"
63,"[null, null]","[null, null]","[81,84]"
62,"[null, null]","[null, null]","[60,83]"
61,"[null, null]","[null, null]","[59,81]"
60,"[null, null]","[null, null]","[58,80]"
59,"[null, null]","[null, null]","[58,80]"
58,"[null, null]","[null, null]","[57,77]"
57,"[null, null]","[null, null]","[56,77]"
56,"[null, null]","[null, null]","[55,76]"
55,"[null, null]","[null, null]","[54,72]"
54,"[null, null]","[null, null]","[54,72]"
53,"[null, null]","[null, null]","[53,68]"
52,"[null, null]","[null, null]","[52,67]"
51,"[null, null]","[null, null]","[51,63]"
50,"[null, null]","[null, null]","[51,63]"
49,"[null, null]","[null, null]","[50,58]"
48,"[null, null]","[>90,>99]","[49,53]"
47,"[null, null]","[>90,>99]","[48,52]"
46,"[null, null]","[89,>99]","[47,47]"
45,"[null, null]","[87,>99]","[47,47]"
44,"[null, null]","[86,>99]","[46,41]"
43,"[null, null]","[84,>99]","[45,37]"
42,"[null, null]","[81,>99]","[44,35]"
41,"[null, null]","[81,>99]","[43,31]"
40,"[null, null]","[79,99]","[43,31]"
39,"[null, null]","[76,99]","[42,26]"
38,"[null, null]","[74,99]","41,22]"
37,"[null, null]","[73,97]","[40,20]"
36,"[>90,>99]","[71,95]","[40,20]"
35,"[88,>99]","[69,94]","[39,12]"
34,"[86,>99]","[68,93]","[38,11]"
33,"[84,>99]","[66,91]","[38,11]"
32,"[82,>99]","[65,89]","[36,3]"
31,"[79,>99]","[63,88]","[null, null]"
30,"[77,>99]","[61,88]","[null, null]"
29,"[75,98]","[60,84]","[null, null]"
28,"[73,96]","[58,81]","[null, null]"
27,"[71,95]","[57,79]","[null, null]"
26,"[68,94]","[55,77]","[null, null]"
25,"[66,94]","[54,73]","[null, null]"
24,"[64,90]","[52,68]","[null, null]"
23,"[62,89]","[51,60]","[null, null]"
22,"[59,86]","[59,56]","[null, null]"
21,"[57,81]","[47,49]","[null, null]"
20,"[55,77]","[46,42]","[null, null]"
19,"[53,70]","[44,35]","[null, null]"
18,"[50,59]","[42,31]","[null, null]"
17,"[48,52]","[41,26]","[null, null]"
16,"[46,46]","[39,15]","[null, null]"
15,"[44,35]","[null, null]","[null, null]"
14,"[41,27]","[null, null]","[null, null]"
13,"[39,16]","[null, null]","[null, null]"
12,"[37,8]","[null, null]","[null, null]"
