Raw Score,Inhibit,Self-Monitor,Shift,Emotional Crontrol,Initiate,Working Memory,Plan/Organize,Task-Monitor,Organization of Materials
24,"[87,>99]","[null,null]","[>90,>99]","[84,>99]","[null,null]","[85,>99]","[80,>99]","[null,null]","[null,null]"
23,"[84,>99]","[null,null]","[88,>99]","[82,99]","[null,null]","[82,>99]","[77,>99]","[null,null]","[null,null]"
22,"[81,>99]","[null,null]","[85,>99]","[80,99]","[null,null]","[77,99]","[74,99]","[null,null]","[null,null]"
21,"[78,98}","[null,null]","[82,>99]","[76,97]","[null,null]","[76,99]","[72,97]","[null,null]","[null,null]"
20,"[75,97]","[null,null]","[79,99]","[74,96]","[null,null]","[72,97]","[69,96]","[null,null]","[null,null]"
19,"[72,97]","[null,null]","[76,98]","[72,95]","[null,null]","[71,96]","[67,94]","[null,null]","[null,null]"
18,"[69,97]","[null,null]","[72,96]","[68,94]","[null,null]","[67,95]","[64,92]","[null,null]","[76,>99]"
17,"[66,94]","[null,null]","[69,95]","[66,94]","[null,null]","[65,94]","[61,89]","[null,null]","[73,99]"
16,"[63,93]","[null,null]","[66,93]","[64,92]","[null,null]","[61,92]","[59,86]","[null,null]","[70,97]"
15,"[60,87]","[null,null]","[62,88]","[60,86]","[79,>99]","[59,85]","[56,76]","[73,>99]","[67,94]"
14,"[57,81]","[null,null]","[59,82]","[58,81]","[75,99]","[56,78]","[53,66]","[69,99]","[63,90]"
13,"[54,71]","[null,null]","[56,78]","[55,80]","[71,98]","[53,72]","[50,61]","[66,96]","[60,86]"
12,"[51,61]","[78,>99]","[53,76]","[53,76]","[67,97]","[51,63]","[48,53]","[62,95]","[57,83]"
11,"[48,57]","[74,99]","[50,65]","[49,72]","[63,94]","[48,52]","[45,42]","[58,89]","[54,68]"
10,"[45,45]","[69,97]","[47,54]","[47,57]","[59,88]","[45,47]","[43,35]","[54,82]","[51,62]"
9,"[42,35]","[63,94]","[44,42]","[45,50]","[55,79]","[42,33]","[40,27]","[50,62]","[48,54]"
8,"[39,14]","[59,87]","[41,31]","[41,35]","[50,63]","[39,21]","[38,16]","[46,44]","[45,44]"
7,"[null,null]","[54,71]","[null,null]","[null,null]","[47,54]","[null,null]","[null,null]","[44,73]","[42,32]"
6,"[null,null]","[49,61]","[null,null]","[null,null]","[43,41]","[null,null]","[null,null]","[40,27]","[39,23]"
5,"[null,null]","[44,46]","[null,null]","[null,null]","[39,25]","[null,null]","[null,null]","[36,17]","[null,null]"
4,"[null,null]","[39,22]","[null,null]","[null,null]","[null,null]","[null,null]","[null,null]","[null,null]","[null,null]"
