Raw Score,Inhibit,Self-Monitor,Shift,Emotional Crontrol,Initiate,Working Memory,Plan/Organize,Task-Monitor,Organization of Materials
24,"[83,>99]","[null, null]","[>90,>99]","[>90,>99]","[null, null]","[82,>99]","[79,>99]","[null, null]","[null, null]"
23,"[81,>99]","[null, null]","[90,>99]","[>90,>99]","[null, null]","[80,99]","[77,>99]","[null, null]","[null, null]"
22,"[78,99]","[null, null]","[87,>99]","[>90,99]","[null, null]","[77,99]","[74,99]","[null, null]","[null, null]"
21,"[75,97]","[null, null]","[84,>99]","[88,99]","[null, null]","[75,97]","[72,99]","[null, null]","[null, null]"
20,"[73,97]","[null, null]","[81,>99]","[85,99]","[null, null]","[72,96]","[69,95]","[null, null]","[null, null]"
19,"[70,96]","[null, null]","[77,99]","[82,99]","[null, null]","[70,94]","[67,94]","[null, null]","[null, null]"
18,"[67,94]","[null, null]","[74,99]","[78,99]","[null, null]","[67,92]","[64,92]","[74,>99]","[null, null]"
17,"[65,91]","[null, null]","[71,96]","[75,97]","[null, null]","[65,91]","[62,89]","[71,98]","[null, null]"
16,"[62,90]","[null, null]","[68,95]","[72,95]","[null, null]","[62,88]","[59,85]","[69,95]","[null, null]"
15,"[60,85]","[77,>99]","[64,90]","[68,92]","[null, null]","[60,84]","[57,75]","[64,92]","[82,>99]"
14,"[57,81]","[74,96]","[61,86]","[65,88]","[null, null]","[57,80]","[54,68]","[61,90]","[78,99]"
13,"[54,74]","[70,95]","[58,61]","[61,87]","[null, null]","[55,77]","[52,64]","[58,87]","[74,99]"
12,"[52,65]","[67,94]","[55,76]","[58,86]","[73,>99]","[52,72]","[50,58]","[54,79]","[70,97]"
11,"[49,61]","[63,92]","[52,70]","[55,84]","[69,98]","[49,66]","[47,53]","[51,69]","[66,95]"
10,"[46,55]","[59,88]","[48,62]","[51,79]","[64,97]","[47,59]","[45,48]","[48,62]","[62,91]"
9,"[44,46]","[56,76]","[45,55]","[48,75]","[60,91]","[44,51]","[42,41]","[45,55]","[58,60]"
8,"[41,35]","[52,67]","[42,42]","[45,64]","[56,86]","[42,36]","[40,21]","[42,45]","[54,70]"
7,"[null, null]","[48,59]","[null, null]","[null, null]","[54,73]","[null, null]","[null, null]","[42,39]","[50,61]"
6,"[null, null]","[45,54]","[null, null]","[null, null]","[50,61]","[null, null]","[null, null]","[40,30]","[46,52]"
5,"[null, null]","[41,37]","[null, null]","[null, null]","[45,52]","[null, null]","[null, null]","[null, null]","[41,46]"
4,"[null, null]","[null, null]","[null, null]","[null, null]","[40,39]","[null, null]","[null, null]","[null, null]","[null, null]"
