Index Raw,Behavior Regulation,Emotion Regulation,Cognitive Regulation
93,"[null, null]","[null, null]","[88,>99]"
92,"[null, null]","[null, null]","[87,>99]"
91,"[null, null]","[null, null]","[86,>99]"
90,"[null, null]","[null, null]","[86,99]"
89,"[null, null]","[null, null]","[85,99]"
88,"[null, null]","[null, null]","[84,99]"
87,"[null, null]","[null, null]","[83,99]"
86,"[null, null]","[null, null]","[83,99]"
85,"[null, null]","[null, null]","[82,99]"
84,"[null, null]","[null, null]","[81,98]"
83,"[null, null]","[null, null]","[80,98]"
82,"[null, null]","[null, null]","[80,97]"
81,"[null, null]","[null, null]","[79,97]"
80,"[null, null]","[null, null]","[78,97]"
79,"[null, null]","[null, null]","[77,97]"
78,"[null, null]","[null, null]","[77,97]"
77,"[null, null]","[null, null]","[76,97]"
76,"[null, null]","[null, null]","[75,97]"
75,"[null, null]","[null, null]","[75,97]"
74,"[null, null]","[null, null]","[74,96]"
73,"[null, null]","[null, null]","[73,96]"
72,"[null, null]","[null, null]","[72,96]"
71,"[null, null]","[null, null]","[72,96]"
70,"[null, null]","[null, null]","[71,96]"
69,"[null, null]","[null, null]","[70,95]"
68,"[null, null]","[null, null]","[69,95]"
67,"[null, null]","[null, null]","[69,94]"
66,"[null, null]","[null, null]","[68,93]"
65,"[null, null]","[null, null]","[67,93]"
64,"[null, null]","[null, null]","[66,93]"
63,"[null, null]","[null, null]","[66,92]"
62,"[null, null]","[null, null]","[65,91]"
61,"[null, null]","[null, null]","[64,90]"
60,"[null, null]","[null, null]","[64,89]"
59,"[null, null]","[null, null]","[63,89]"
58,"[null, null]","[null, null]","[62,88]"
57,"[null, null]","[null, null]","[61,87]"
56,"[null, null]","[null, null]","[61,86]"
55,"[null, null]","[null, null]","[60,85]"
54,"[null, null]","[null, null]","[59,84]"
53,"[null, null]","[null, null]","[58,82]"
52,"[null, null]","[null, null]","[58,80]"
51,"[null, null]","[null, null]","[57,78]"
50,"[null, null]","[null, null]","[56,77]"
49,"[null, null]","[null, null]","[55,76]"
48,"[null, null]","[>90,>99]","[55,76]"
47,"[null, null]","[>90,>99]","[54,73]"
46,"[null, null]","[>90,99]","[53,72]"
45,"[null, null]","[>90,99]","[53,71]"
44,"[null, null]","[>90,99]","[52,69]"
43,"[null, null]","[>90,99]","[51,67]"
42,"[null, null]","[>90,99]","[50,66]"
41,"[null, null]","[>90,98]","[50,65]"
40,"[null, null]","[89,98]","[49,64]"
39,"[87,>99]","[87,98]","[48,63]"
38,"[85,98]","[85,98]","[47,60]"
37,"[84,98]","[84,98]","[47,58]"
36,"[82,97]","[82,98]","[46,55]"
35,"[80,97]","[80,97]","[45,55]"
34,"[79,97]","[78,97]","[45,53]"
33,"[77,97]","[76,97]","[44,46]"
32,"[75,96]","[74,97]","[43,34]"
31,"[74,95]","[72,96]","[42,23]"
30,"[72,95]","[71,95]","[null, null]"
29,"[70,93]","[69,94]","[null, null]"
28,"[69,93]","[67,93]","[null, null]"
27,"[67,92]","[65,93]","[null, null]"
26,"[65,92]","[63,92]","[null, null]"
25,"[64,90]","[61,91]","[null, null]"
24,"[62,89]","[59,90]","[null, null]"
23,"[60,89]","[58,87]","[null, null]"
22,"[58,86]","[56,85]","[null, null]"
21,"[57,84]","[54,82]","[null, null]"
20,"[55,82]","[52,79]","[null, null]"
19,"[53,80]","[50,77]","[null, null]"
18,"[52,75]","[48,70]","[null, null]"
17,"[50,72]","[46,60]","[null, null]"
16,"[48,67]","[44,47]","[null, null]"
15,"[47,62]","[null, null]","[null, null]"
14,"[45,53]","[null, null]","[null, null]"
13,"[43,36]","[null, null]","[null, null]"
