Total Raw,Total Raw
180,"[>90,>99]"
179,"[>90,>99]"
178,"[90,>99]"
177,"[90,>99]"
176,"[89,>99]"
175,"[89,>99]"
174,"[88,>99]"
173,"[88,>99]"
172,"[87,>99]"
171,"[87,>99]"
170,"[86,>99]"
169,"[86,>99]"
168,"[85,>99]"
167,"[85,>99]"
166,"[84,>99]"
165,"[84,>99]"
164,"[84,>99]"
163,"[83,>99]"
162,"[83,>99]"
161,"[82,>99]"
160,"[82,99]"
159,"[81,99]"
158,"[81,99]"
157,"[80,99]"
156,"[80,99]"
155,"[79,98]"
154,"[79,98]"
153,"[78,98]"
152,"[78,98]"
151,"[77,98]"
150,"[77,98]"
149,"[76,98]"
148,"[76,98]"
147,"[76,98]"
146,"[75,98]"
145,"[75,98]"
144,"[74,97]"
143,"[74,97]"
142,"[73,97]"
141,"[73,97]"
140,"[72,98]"
139,"[72,96]"
138,"[71,96]"
137,"[71,96]"
136,"[70,94]"
135,"[70,94]"
134,"[69,94]"
133,"[69,94]"
132,"[69,94]"
131,"[68,92]"
130,"[68,92]"
129,"[67,91]"
128,"[67,91]"
127,"[66,90]"
126,"[66,90]"
125,"[65,89]"
124,"[65,89]"
123,"[64,86]"
122,"[64,86]"
121,"[63,85]"
120,"[63,85]"
119,"[62,84]"
118,"[62,84]"
117,"[61,82]"
116,"[61,82]"
115,"[61,82]"
114,"[60,81]"
113,"[60,81]"
112,"[59,79]"
111,"[59,79]"
110,"[58,79]"
109,"[58,79]"
108,"[57,76]"
107,"[57,76]"
106,"[56,73]"
105,"[56,73]"
104,"[55,73]"
103,"[55,73]"
102,"[55,73]"
101,"[54,69]"
100,"[54,69]"
99,"[54,69]"
98,"[53,65]"
97,"[53,65]"
96,"[52,63]"
95,"[52,63]"
94,"[52,63]"
93,"[51,61]"
92,"[51,61]"
91,"[50,59]"
90,"[50,59]"
89,"[50,59]"
88,"[49,56]"
87,"[49,56]"
86,"[48,54]"
85,"[48,54]"
84,"[48,54]"
83,"[47,49]"
82,"[47,49]"
81,"[46,45]"
80,"[46,45]"
79,"[46,45]"
78,"[45,42]"
77,"[45,42]"
76,"[45,42]"
75,"[44,37]"
74,"[44,37]"
73,"[43,35]"
72,"[43,35]"
71,"[43,35]"
70,"[42,32]"
69,"[42,32]"
68,"[41,27]"
67,"[41,27]"
66,"[41,27]"
65,"[40,21]"
64,"[40,21]"
63,"[39,17]"
62,"[39,17]"
61,"[39,17]"
60,"[38,6]"
