Total Raw,Total Raw
180,"[>90,>99]"
179,"[>90,>99]"
178,"[90,>99]"
177,"[90,>99]"
176,"[89,>99]"
175,"[89,>99]"
174,"[88,>99]"
173,"[88,>99]"
172,"[87,>99]"
171,"[87,>99]"
170,"[86,>99]"
169,"[86,>99]"
168,"[85,>99]"
167,"[85,>99]"
166,"[84,>99]"
165,"[84,>99]"
164,"[84,>99]"
163,"[83,>99]"
162,"[83,>99]"
161,"[82,99]"
160,"[82,99]"
159,"[81,99]"
158,"[81,99]"
157,"[80,99]"
156,"[80,99]"
155,"[79,99]"
154,"[79,99]"
153,"[78,99]"
152,"[78,99]"
151,"[77,99]"
150,"[77,99]"
149,"[76,99]"
148,"[76,99]"
147,"[76,99]"
146,"[75,99]"
145,"[75,99]"
144,"[74,99]"
143,"[74,99]"
142,"[73,99]"
141,"[73,99]"
140,"[72,99]"
139,"[72,99]"
138,"[71,99]"
137,"[71,98]"
136,"[70,98]"
135,"[70,97]"
134,"[69,97]"
133,"[69,95]"
132,"[69,95]"
131,"[68,95]"
130,"[68,95]"
129,"[67,95]"
128,"[67,93]"
127,"[66,93]"
126,"[66,92]"
125,"[65,92]"
124,"[65,90]"
123,"[63,90]"
122,"[64,87]"
121,"[63,87]"
120,"[64,86]"
119,"[62,86]"
118,"[62,86]"
117,"[61,86]"
116,"[61,86]"
115,"[61,86]"
114,"[60,83]"
113,"[60,83] "
112,"[59,80]"
111,"[59,80]"
110,"[58,80]"
109,"[58,80]"
108,"[57,79]"
107,"[57,79]"
106,"[56,75]"
105,"[56,75]"
104,"[55,73]"
103,"[55,73]"
102,"[55,73]"
101,"[54,70]"
100,"[54,70]"
99,"[53,66]"
98,"[53,66]"
97,"[52,62]"
96,"[51,61]"
95,"[51,61]"
94,"[60,56]"
93,"[60,56]"
92,"[49,55]"
91,"[49,55]"
90,"[49,55]"
89,"[48,50]"
88,"[47,47]"
87,"[47,47]"
86,"[47,47]"
85,"[47,47]"
84,"[46,41]"
83,"[45,40]"
82,"[45,40]"
81,"[45,40]"
80,"[44,34]"
79,"[44,34]"
78,"[43,30]"
77,"[43,30]"
76,"[42,28]"
75,"[42,28]"
74,"[41,25]"
73,"[41,25]"
72,"[40,19]"
71,"[40,19]"
70,"[40,19]"
69,"[39,16]"
68,"[39,16]"
67,"[38,14]"
66,"[38,14]"
65,"[37,10]"
64,"[37,10]"
63,"[36,6]"
62,"[36,6]"
61,"[35,1]"
60,"[35,1]"
