Total Raw,Total Raw
180,"[>90,>99]"
179,"[>90,>99]"
178,"[90,>99]"
177,"[90,>99]"
176,"[89,>99]"
175,"[89,>99]"
174,"[88,>99]"
173,"[88,>99]"
172,"[88,>99]"
171,"[87,>99]"
170,"[87,>99]"
169,"[86,>99]"
168,"[86,>99]"
167,"[85,>99]"
166,"[85,>99]"
165,"[84,>99]"
164,"[84,>99]"
163,"[83,>83]"
162,"[83,>83]"
161,"[83,>83]"
160,"[82,>99]"
159,"[82,>99]"
158,"[81,>99]"
157,"[81,>99]"
156,"[80,>99]"
155,"[80,99]"
154,"[79,99]"
153,"[79,99]"
152,"[78,99]"
151,"[78,99]"
150,"[78,99]"
149,"[77,99]"
148,"[77,99]"
147,"[76,99]"
146,"[76,99]"
145,"[75,99]"
144,"[75,99]"
143,"[74,99]"
142,"[74,99]"
141,"[73,97]"
140,"[73,97]"
139,"[72,97]"
138,"[72,97]"
137,"[72,97]"
136,"[71,95]"
135,"[71,95]"
134,"[70,95]"
133,"[70,95]"
132,"[70,95]"
131,"[69,95]"
130,"[69,95]"
129,"[68,94]"
128,"[68,94]"
127,"[67,94]"
126,"[67,94]"
125,"[66,92]"
124,"[66,92]"
123,"[65,91]"
122,"[65,91]"
121,"[64,90]"
120,"[64,90]"
119,"[63,90]"
118,"[64,90]"
117,"[64,90]"
116,"[62,90]"
115,"[62,90]"
114,"[61,89]"
113,"[61,89]"
112,"[60,86]"
111,"[60,86]"
110,"[59,83]"
109,"[59,83]"
108,"[58,81]"
107,"[58,81]"
106,"[57,80]"
105,"[57,80]"
104,"[56,75]"
103,"[56,75]"
102,"[56,75]"
101,"[55,71]"
100,"[55,71]"
99,"[54,69]"
98,"[54,69]"
97,"[53,66]"
96,"[53,66]"
95,"[52,64]"
94,"[52,64]"
93,"[51,61]"
92,"[51,61]"
91,"[51,61]"
90,"[50,58]"
89,"[50,58]"
88,"[49,54]"
87,"[49,54]"
86,"[48,48]"
85,"[48,48]"
84,"[47,45]"
83,"[47,45]"
82,"[46,43]"
81,"[46,43]"
80,"[46,43]"
79,"[45,40]"
78,"[45,40]"
77,"[44,35]"
76,"[44,35]"
75,"[43,31]"
74,"[43,31]"
73,"[42,29]"
72,"[42,29]"
71,"[41,24]"
70,"[41,24]"
69,"[40,20]"
68,"[40,20]"
67,"[40,20]"
66,"[39,18]"
65,"[39,18]"
64,"[38,13]"
63,"[38,13]"
62,"[37,5]"
61,"[37,5]"
60,"[36,1]"
