Total Raw," [T %]"
180,"[>90,>99]"
179,"[>90,>99]"
178,"[90,>99]"
177,"[90,>99]"
176,"[89,>99]"
175,"[89,>99]"
174,"[88,>99]"
173,"[88,>99]"
172,"[88,>99]"
171,"[87,>99]"
170,"[87,>99]"
169,"[86,>99]"
168,"[86,>99]"
167,"[85,>99]"
166,"[85,>99]"
165,"[84,>99]"
164,"[84,99]"
163,"[83,99]"
162,"[83,99]"
161,"[83,99]"
160,"[82,99]"
159,"[82,99]"
158,"[81,99]"
157,"[81,99]"
156,"[80,98]"
155,"[80,98]"
154,"[79,98]"
153,"[79,98]"
152,"[78,98]"
151,"[78,98]"
150,"[78,98]"
149,"[77,98]"
148,"[77,98]"
147,"[76,97]"
146,"[76,97]"
145,"[75,97]"
144,"[75,97]"
143,"[74,97]"
142,"[74,97]"
141,"[73,97]"
140,"[73,97]"
139,"[73,97]"
138,"[72,96]"
137,"[72,96]"
136,"[71,95]"
135,"[71,95]"
134,"[70,95]"
133,"[70,95]"
132,"[70,95]"
131,"[69,93]"
130,"[69,93]"
129,"[68,93]"
128,"[68,93]"
127,"[67,94]"
126,"[67,94]"
125,"[67,94]"
124,"[66,93]"
123,"[66,93]"
122,"[65,91]"
121,"[65,91]"
120,"[64,91]"
119,"[64,91]"
118,"[64,91]"
117,"[63,89]"
116,"[63,89]"
115,"[62,88]"
114,"[62,88]"
113,"[61,88]"
112,"[61,88]"
111,"[60,87]"
110,"[60,87]"
109,"[60,87]"
108,"[59,84]"
107,"[59,84]"
106,"[58,82]"
105,"[58,82]"
104,"[57,80]"
103,"[57,80]"
102,"[57,80]"
101,"[56,77]"
100,"[56,77]"
99,"[55,76]"
98,"[55,76]"
97,"[54,74]"
96,"[54,74]"
95,"[54,74]"
94,"[53,70]"
93,"[53,70]"
92,"[52,68]"
91,"[52,68]"
90,"[51,68]"
89,"[51,68]"
88,"[51,68]"
87,"[50,62]"
86,"[50,62]"
85,"[49,60]"
84,"[49,60]"
83,"[48,54]"
82,"[48,54]"
81,"[47,50]"
80,"[47,50]"
79,"[47,50]"
78,"[46,48]"
77,"[46,48]"
76,"[45,43]"
75,"[45,43]"
74,"[44,36]"
73,"[44,36]"
72,"[44,36]"
71,"[43,32]"
70,"[43,32]"
69,"[42,26]"
68,"[42,26]"
67,"[41,21]"
66,"[41,21]"
65,"[41,21]"
64,"[40,13]"
63,"[40,13]"
62,"[39,8]"
61,"[39,8]"
60,"[38,4]"
